;Канал: 0;Канал: 1;
0;-0,1099;1,7822;
0;-0,1392;1,8311;
0;-0,1587;1,8726;
0;-0,1685;1,9116;
0;-0,2075;1,9312;
1;-0,2075;1,9604;
1;-0,2490;2,0020;
1;-0,2393;2,0215;
1;-0,2588;2,0605;
1;-0,2783;2,0703;
1;-0,2979;2,1118;
1;-0,3076;2,1313;
1;-0,3174;2,1606;
1;-0,3271;2,1899;
1;-0,3271;2,2095;
2;-0,3271;2,2412;
2;-0,3369;2,2510;
2;-0,3687;2,2705;
2;-0,3687;2,2803;
2;-0,3784;2,2998;
2;-0,3882;2,3291;
2;-0,4077;2,3389;
2;-0,3979;2,3706;
2;-0,4272;2,4097;
2;-0,4077;2,4390;
3;-0,4370;2,4902;
3;-0,4272;2,5293;
3;-0,4468;2,5781;
3;-0,4761;2,5879;
3;-0,4565;2,6587;
3;-0,4761;2,6587;
3;-0,4980;2,6782;
3;-0,5176;2,7075;
3;-0,5078;2,6978;
3;-0,5176;2,7075;
4;-0,5371;2,6880;
4;-0,5176;2,6587;
4;-0,5176;2,6392;
4;-0,5371;2,5586;
4;-0,5273;2,4780;
4;-0,5176;2,4292;
4;-0,5371;2,3804;
4;-0,5371;2,3096;
4;-0,5273;2,2705;
4;-0,5176;2,2095;
5;-0,5371;2,1509;
5;-0,5273;2,0898;
5;-0,5176;2,0313;
5;-0,5273;1,9727;
5;-0,5078;1,8921;
5;-0,5176;1,8408;
5;-0,5078;1,7627;
5;-0,4980;1,7017;
5;-0,4883;1,6235;
5;-0,4883;1,5430;
6;-0,4980;1,4648;
6;-0,4883;1,3647;
6;-0,5078;1,2549;
6;-0,4883;1,1646;
6;-0,5078;1,0645;
6;-0,4883;0,9473;
6;-0,4663;0,8569;
6;-0,4663;0,7471;
6;-0,4663;0,6567;
6;-0,4663;0,5786;
7;-0,4370;0,4785;
7;-0,4370;0,3882;
7;-0,4272;0,3003;
7;-0,4272;0,2002;
7;-0,4175;0,1196;
7;-0,3979;0,0195;
7;-0,4175;-0,0586;
7;-0,4077;-0,1392;
7;-0,3784;-0,2295;
7;-0,3784;-0,3174;
8;-0,3467;-0,3979;
8;-0,3467;-0,4761;
8;-0,3271;-0,5566;
8;-0,3174;-0,6372;
8;-0,3076;-0,6860;
8;-0,2588;-0,7568;
8;-0,2295;-0,8154;
8;-0,2075;-0,8960;
8;-0,1978;-0,9546;
8;-0,1587;-1,0254;
9;-0,1392;-1,0840;
9;-0,1001;-1,1450;
9;-0,0488;-1,2036;
9;-0,0391;-1,2427;
9;-0,0098;-1,2939;
9;0,0098;-1,3330;
9;0,0195;-1,3818;
9;0,0415;-1,4331;
9;0,0610;-1,4722;
9;0,1294;-1,5234;
10;0,1294;-1,5723;
10;0,1392;-1,6211;
10;0,1709;-1,6724;
10;0,1904;-1,7114;
10;0,2295;-1,7505;
10;0,2393;-1,7920;
10;0,2588;-1,8311;
10;0,2881;-1,8896;
10;0,3003;-1,8994;
10;0,3198;-1,9312;
11;0,3491;-1,9702;
11;0,3491;-1,9995;
11;0,3882;-2,0410;
11;0,3979;-2,0605;
11;0,3979;-2,0898;
11;0,4175;-2,1191;
11;0,4297;-2,1387;
11;0,4492;-2,1606;
11;0,4688;-2,1899;
11;0,4785;-2,2095;
12;0,4883;-2,2388;
12;0,5176;-2,2388;
12;0,4980;-2,2778;
12;0,5176;-2,2900;
12;0,5469;-2,3291;
12;0,5591;-2,3389;
12;0,5591;-2,3682;
12;0,5786;-2,4072;
12;0,5371;-2,4292;
12;0,5786;-2,4683;
13;0,5786;-2,5171;
13;0,5884;-2,5488;
13;0,5981;-2,5879;
13;0,6177;-2,6270;
13;0,6177;-2,6660;
13;0,6372;-2,6880;
13;0,6372;-2,7075;
13;0,6274;-2,7173;
13;0,6470;-2,7173;
13;0,6665;-2,6978;
14;0,6982;-2,6978;
14;0,6982;-2,6563;
14;0,7080;-2,6270;
14;0,7080;-2,5366;
14;0,7275;-2,4878;
14;0,7080;-2,4292;
14;0,7080;-2,3682;
14;0,7178;-2,3193;
14;0,6982;-2,2681;
14;0,6885;-2,1997;
15;0,6763;-2,1387;
15;0,6885;-2,0801;
15;0,6763;-2,0288;
15;0,6885;-1,9702;
15;0,6763;-1,8896;
15;0,6470;-1,8408;
15;0,6470;-1,7603;
15;0,6567;-1,6919;
15;0,6470;-1,6211;
15;0,6274;-1,5332;
16;0,6470;-1,4526;
16;0,6177;-1,3525;
16;0,6274;-1,2524;
16;0,6177;-1,1646;
16;0,6274;-1,0352;
16;0,6274;-0,9448;
16;0,6177;-0,8447;
16;0,6177;-0,7471;
16;0,5981;-0,6665;
16;0,5884;-0,5469;
17;0,5884;-0,4883;
17;0,5786;-0,3979;
17;0,5884;-0,2979;
17;0,5786;-0,1978;
17;0,5688;-0,1196;
17;0,5273;-0,0195;
17;0,5469;0,0708;
17;0,5273;0,1392;
17;0,5078;0,2197;
17;0,4785;0,3101;
18;0,4785;0,3882;
18;0,4785;0,4688;
18;0,4297;0,5591;
18;0,4297;0,6079;
18;0,4175;0,6885;
18;0,3784;0,7568;
18;0,3589;0,8374;
18;0,3296;0,8765;
18;0,3003;0,9570;
18;0,2783;1,0156;
19;0,2783;1,0767;
19;0,2197;1,1255;
19;0,2100;1,1743;
19;0,1807;1,2158;
19;0,1196;1,2842;
19;0,1196;1,3232;
19;0,1001;1,3745;
19;0,0513;1,4233;
19;0,0098;1,4746;
19;0,0195;1,5234;
20;-0,0293;1,5625;
20;-0,0293;1,6040;
20;-0,0781;1,6626;
20;-0,1001;1,7017;
20;-0,0879;1,7432;
20;-0,1196;1,7822;
20;-0,1587;1,8213;
20;-0,1587;1,8628;
20;-0,1782;1,9019;
20;-0,1978;1,9214;
21;-0,2173;1,9604;
21;-0,2295;2,0020;
21;-0,2588;2,0313;
21;-0,2686;2,0605;
21;-0,2979;2,0703;
21;-0,3076;2,1118;
21;-0,3271;2,1411;
21;-0,3174;2,1509;
21;-0,3467;2,1704;
21;-0,3589;2,1997;
22;-0,3589;2,2314;
22;-0,3589;2,2510;
22;-0,3589;2,2705;
22;-0,3467;2,2998;
22;-0,4077;2,3096;
22;-0,4077;2,3389;
22;-0,4175;2,3706;
22;-0,4468;2,3999;
22;-0,4272;2,4390;
22;-0,4468;2,4487;
23;-0,4565;2,5293;
23;-0,4565;2,5391;
23;-0,4565;2,5879;
23;-0,4883;2,6196;
23;-0,4980;2,6392;
23;-0,4980;2,6782;
23;-0,4980;2,7075;
23;-0,5078;2,7173;
23;-0,5371;2,7173;
23;-0,5176;2,7173;
24;-0,5273;2,6978;
24;-0,5078;2,6685;
24;-0,5078;2,6392;
24;-0,5176;2,5391;
24;-0,5273;2,4780;
24;-0,5176;2,4390;
24;-0,5469;2,3804;
24;-0,5371;2,3193;
24;-0,5469;2,2510;
24;-0,5469;2,1997;
25;-0,5371;2,1313;
25;-0,5273;2,0801;
25;-0,5273;2,0215;
25;-0,5273;1,9727;
25;-0,5371;1,9019;
25;-0,4980;1,8311;
25;-0,5078;1,7822;
25;-0,5176;1,6919;
25;-0,4883;1,6235;
25;-0,4883;1,5332;
26;-0,5078;1,4331;
26;-0,5078;1,3647;
26;-0,4883;1,2451;
26;-0,4883;1,1646;
26;-0,4663;1,0352;
26;-0,4883;0,9473;
26;-0,4761;0,8569;
26;-0,4565;0,7666;
26;-0,4565;0,6567;
26;-0,4370;0,5688;
27;-0,4272;0,4590;
27;-0,4468;0,3784;
27;-0,4565;0,2881;
27;-0,4272;0,2002;
27;-0,4272;0,1001;
27;-0,4077;0,0000;
27;-0,3979;-0,0684;
27;-0,4077;-0,1685;
27;-0,3687;-0,2490;
27;-0,3589;-0,3174;
28;-0,3589;-0,3784;
28;-0,3369;-0,4883;
28;-0,3271;-0,5664;
28;-0,2783;-0,6274;
28;-0,2881;-0,7153;
28;-0,2588;-0,7666;
28;-0,2295;-0,8350;
28;-0,2295;-0,8862;
28;-0,1685;-0,9644;
28;-0,1196;-1,0156;
29;-0,1001;-1,0742;
29;-0,0684;-1,1450;
29;-0,0488;-1,1938;
29;-0,0488;-1,2744;
29;-0,0195;-1,3135;
29;0,0513;-1,3525;
29;0,0708;-1,3940;
29;0,0708;-1,4429;
29;0,0708;-1,4917;
29;0,1099;-1,5234;
30;0,1392;-1,5918;
30;0,1587;-1,6406;
30;0,2002;-1,6919;
30;0,2002;-1,7212;
30;0,2197;-1,7505;
30;0,2295;-1,7920;
30;0,2393;-1,8311;
30;0,2588;-1,8701;
30;0,2881;-1,9116;
30;0,3394;-1,9507;
31;0,3589;-1,9702;
31;0,3394;-2,0093;
31;0,3784;-2,0508;
31;0,3882;-2,0605;
31;0,3882;-2,0801;
31;0,3979;-2,1191;
31;0,4297;-2,1387;
31;0,4785;-2,1606;
31;0,4688;-2,1802;
31;0,4492;-2,2095;
32;0,4688;-2,2290;
32;0,4883;-2,2485;
32;0,5176;-2,2778;
32;0,5078;-2,2998;
32;0,5371;-2,3193;
32;0,5688;-2,3389;
32;0,5469;-2,3779;
