voltage[V],current[A],amp[muV]
1,0,6.5
1,0.25,34.6
1,0.48,52.5
1,0.66,71.4
1,0.85,83.4
1,1,97.2
1,1.12,109.1
1,1.26,120.8
1,1.41,132.2
1,1.6,142.8
1,1.75,148.2
1,1.91,159.5
1,2.01,164.9
1,1.76,157.5
1,1.62,148.3
1,1.43,138.6
1,1.3,129.8
1,1.14,120.5
1,0.99,109.8
1,0.87,98.4
1,0.71,82.2
1,0.55,69.2
1,0.41,56
1,0.24,38.1
1,0,10.8
1,-0.17,-13.5
1,-0.35,-28.6
1,-0.51,-46.3
1,-0.71,-67.3
1,-0.88,-84.2
1,-1.03,-98.3
1,-1.2,-112.6
1,-1.35,-126.6
1,-1.52,-138.8
1,-1.65,-148.7
1,-1.77,-153.5
1,-1.88,-161.8
1,-2,-171.2
1,-1.77,-161.8
1,-1.64,-156.2
1,-1.49,-148.2
1,-1.34,-142.1
1,-1.21,-131.4
1,-1.06,-119.8
1,-0.91,-105.1
1,-0.76,-93.9
1,-0.61,-79.2
1,-0.46,-65.5
1,-0.32,-48.8
1,-0.14,-28.5
1,-0,-11.5
