,x,y
0,2050,160.0
1,2000,144.0
2,1950,130.0
3,1900,110.0
4,1850,96.0
5,1800,80.0
6,1750,68.0
7,1700,56.0
8,1650,48.0
9,1600,40.0
0,2850,42.532608695652
1,2800,59.608000000000004
2,2750,70.604166666667
3,2700,78.93039049236
4,2650,90.772285966461
5,2600,97.43794326241101
6,2550,103.85333333333301
7,2500,109.983985765125
8,2450,116.37271511368701
9,2400,122.78999106345
10,2350,129.236005373937
11,2300,135.710951526032
12,2250,142.215024741341
13,2200,148.748422001804
14,2150,155.311342069589
15,2100,161.903985507247
